NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Herren;Thomas;500453;Aarberg;958;8.0;1523;5;5
Lopez;Francisco;110035;Vernier;958;-7.0;1524;5;5
Steiger;Robert;703047;Wuppenau;958;-3.0;1525;5;5
Leyendecker;Dietger;709080;Rapperswil-Jona;958;-18.0;1526;5;5
Bammerlin;Werner;215261;Cernier;958;-31.0;1527;6;6
Nideröst;Martin;705200;Meilen-Männedorf;958;-3.0;1528;5;5
Chappuis;Olivier;402762;Fribourg;958;-5.0;1529;5;5
Kronthaler;Franz;716158;Chur;958;50.0;1530;4;4
Lauener;Sebastian;507077;Langnau;957;10.0;1531;5;5
Dürmüller;Alois;700360;Wil SG;957;-21.0;1532;5;5
Rezzonico;Daniele;300762;Lugano;957;-19.0;1533;5;5
Straub;Beat;501273;Oberdiessbach;957;0.0;1534;5;5
Sidler;Timo;713028;Horn;956;0.0;1535;5;5
Widmer;Roman;706126;Ettenhausen;956;-11.0;1536;5;5
Fröhlich;Jörg;609045;Sisseln;955;6.0;1537;5;5
Michel;Sascha;515030;Münchenbuchsee;955;7.0;1538;5;5
Schmid;Bruno;701451;Embrach;955;-19.0;1539;5;5
Chikatamarla;Shyam Sunder;706038;Höngg;954;17.0;1540;5;5
Linshalm;Rene;718044;Bassersdorf;954;-4.0;1541;5;5
Stalder;Hugo;701603;Winterthur;953;19.0;1542;5;5
Nacken;Michael;602094;Muri;953;9.0;1543;5;5
Kunz;Peter;700012;Flums;953;-6.0;1544;5;5
Zyka;Markus;701940;Oberrohrdorf;952;0.0;1545;5;5
Fioravanti;Livio;104050;Versoix;952;-28.0;1546;5;5
Pegatoquet;Tiburce;114065;Silver Star;952;14.0;1547;5;5
Zollinger;Lionel;101640;UGS-Chênois;951;0.0;1548;5;5
Perler;Gilbert;503229;Düdingen;951;0.0;1549;5;5
Wagner;Didé;701787;Bronschhofen;951;-60.0;1550;6;6
Radisic;Vasilije;702865;Höngg;951;0.0;1551;5;5
Senn;Simon;600553;Gelterkinden;951;-46.0;1552;6;6
Greber;Flavien;103027;Bernex;950;7.0;1553;5;5
Jaeggi;Dylan;714061;Horgen;950;10.0;1554;5;5
Mahler;Rene;801091;Reussbühl;950;24.0;1555;4;4
Rauscher;Robert;519038;Bern;950;-10.0;1556;5;5
Leu;Thomas;707066;St. Gallen;949;-19.0;1557;5;5
De Visser;Bastian;703514;Wolfhalden;949;9.0;1558;5;5
Hegemann;Dirk;704044;Gaiserwald;949;-32.0;1559;5;5
Chvojan;Joel;514084;Solothurn;949;14.0;1560;5;5
Kong;William;601354;Wettstein Basel;949;0.0;1561;5;5
Clot;Cyrille;213064;La Chaux-de-Fonds;948;0.0;1562;5;5
Alves Duval;Nicola;115306;Versoix;948;-22.0;1563;5;5
Nützi;Andreas;609052;Münchenstein-City;948;3.0;1564;5;5
Balmat;Christian;100325;Carouge;948;6.0;1565;5;5
Hebeisen;Christophe;418002;Rossens;947;51.0;1566;4;4
Ambrosio;Loïc;410031;Romanel;947;6.0;1567;5;5
Smit;Jan Mark;710168;Ettenhausen;947;-43.0;1568;5;5
Gähwiler;Armin;800550;Goldau;947;-8.0;1569;5;5
